,50S,,45S,,40S,
A,Vmax,Vmin,Vmax,Vmin,Vmax,Vmin
5,27.1,27.01,27.3,27.23,27.04,26.83
10,26.04,25.99,26.37,26.32,25.97,25.94
15,25.41,25.37,25.76,25.71,25.39,25.35
20,24.96,24.91,25.28,25.23,24.94,24.9
25,24.57,24.52,24.87,24.81,24.58,24.52
30,24.24,24.18,24.51,24.42,24.25,24.18
35,23.97,23.87,24.16,24.07,23.94,23.86
40,23.68,23.56,23.86,23.75,23.68,23.57
45,23.42,23.28,23.58,23.45,23.42,23.31
50,23.21,22.99,23.32,23.16,23.29,23.17
55,23.05,22.8,23.34,23.1,23.05,22.91
60,22.97,22.65,23.09,22.82,22.83,22.52
65,22.75,22.42,22.86,22.54,22.62,22.36
70,22.62,22.25,22.65,22.31,22.45,22.07
75,22.4,22.04,22.48,22.13,22.25,21.85
80,22.24,21.75,22.36,21.91,22.04,21.64
85,22.08,21.6,22.21,22.73,21.91,21.41
90,21.92,21.34,22.01,21.49,21.76,21.25
95,21.77,21.15,21.83,21.4,21.55,21.07
100,21.63,20.98,21.67,21.08,21.45,20.88
